subj	itemID	cond	Acc
S10	i104	UC	1
S10	i105	UC	1
S10	i106	UD	1
S10	i107	RD	1
S10	i108	RD	1
S10	i109	RD	1
S10	i110	UC	1
S10	i111	RC	1
S10	i112	RD	1
S10	i113	RD	1
S10	i114	RD	1
S10	i115	UD	1
S10	i116	UD	1
S10	i117	RD	1
S10	i118	UD	1
S10	i119	RC	1
S10	i120	UC	1
S11	i001	UC	1
S11	i002	RC	1
S11	i003	UD	1
S11	i004	RC	1
S11	i005	RC	1
S11	i006	UD	1
S11	i007	RC	1
S11	i008	UC	1
S11	i009	RD	1
S11	i010	UC	1
S11	i011	UD	1
S11	i012	RC	1
S11	i013	UC	1
S11	i014	RD	1
S11	i015	UD	1
S11	i016	RC	1
S11	i017	UD	1
S11	i018	RC	1
S11	i019	RC	1
S11	i020	UC	1
S11	i021	UD	1
S11	i022	UC	0
S11	i023	RC	1
S11	i024	RD	1
S11	i025	UC	1
S11	i026	RC	1
S11	i027	RC	1
S11	i028	UC	1
S11	i029	UD	1
S11	i030	RD	1
S11	i031	RC	1
S11	i032	RC	0
S11	i033	UC	1
S11	i034	RD	1
S11	i035	RD	1
S11	i036	RD	1
S11	i037	RD	1
S11	i038	RD	1
S11	i039	RD	1
S11	i040	UD	1
S11	i041	UC	1
S11	i042	UD	1
S11	i043	UD	1
S11	i044	RD	1
S11	i045	UC	1
S11	i046	RD	1
S11	i047	RC	1
S11	i048	UD	1
S11	i049	RD	1
S11	i050	RD	1
S11	i051	UD	1
S11	i052	UD	1
S11	i053	RD	1
S11	i054	UC	1
S11	i055	UC	1
S11	i056	RD	0
S11	i057	RC	1
S11	i058	UD	1
S11	i059	UD	0
S11	i060	RD	1
S11	i061	RD	1
S11	i062	UC	1
S11	i063	UD	1
